id,filtered_words_str_final,features_str,label_index
R129,new report election audience late unit seat. late project board. experts discuss ongoing developments election.,"(10000,[132,585,1268,1312,2230,3079,3556,3614,4506,4687,5305,6335,6505,9462],[2.6330871626287546,0.6871770135734415,4.830311739964974,4.607168188650764,3.914021008090819,7.637421656572989,2.7826188965997183,0.6832166123573445,0.691153161953081,0.691153161953081,5.523458920524919,3.914021008090819,0.6871770135734415,0.691153161953081])",1.0
R227,new report climate change first cultural front particularly western with. federal second seat draw say cold without. experts discuss ongoing developments climate change.,"(10000,[47,387,504,524,585,633,821,2059,3614,3804,3920,4506,4687,5862,6403,6443,6505,7640,8167,9233,9256,9462],[4.019381523748645,2.5530444549552183,4.42484663185681,3.577548771469606,0.6871770135734415,4.137164559405029,5.698620542196782,2.60568818844064,0.6832166123573445,5.117993812416755,4.830311739964974,0.691153161953081,0.691153161953081,4.019381523748645,4.42484663185681,3.914021008090819,0.6871770135734415,4.830311739964974,4.607168188650764,4.42484663185681,4.42484663185681,0.691153161953081])",1.0
F231,aliens confirmed sources new painting red network hour. resource church environmental participant skill gun meeting. administration election good. — shocking claims aliens surface internet.,"(10000,[52,132,503,585,650,1034,1273,1670,3079,4988,5185,5396,5850,6027,7032,7281,7825,7936,8313,8338,9023,9152,9968],[4.42484663185681,2.6330871626287546,0.691153161953081,0.6871770135734415,5.917019126126766,4.270695952029551,3.3262343431887,4.270695952029551,3.8187108282864943,0.6792718340663283,4.270695952029551,4.270695952029551,0.691153161953081,4.019381523748645,5.117993812416755,0.6714286566053024,5.117993812416755,0.691153161953081,4.830311739964974,0.691153161953081,0.691153161953081,4.42484663185681,3.6516567436233283])",0.0
R066,new report policy method picture author. weight notice let draw. point guess production low. experts discuss ongoing developments policy.,"(10000,[373,585,1525,2481,3614,3759,4142,4416,4506,4687,6015,6505,6944,8004,8267,8353,8546,8660,9462],[4.42484663185681,0.6871770135734415,3.383392757028649,4.42484663185681,0.6832166123573445,5.523458920524919,2.6902455764687034,4.270695952029551,0.691153161953081,0.691153161953081,3.914021008090819,0.6871770135734415,2.849310271098391,3.577548771469606,4.270695952029551,3.914021008090819,5.117993812416755,4.607168188650764,0.691153161953081])",1.0
F095,mind control confirmed sources visit cost option ten benefit region. appear road relationship wait shoulder care people. gas large argue big along join. — shocking claims mind control surface internet.,"(10000,[503,613,698,1208,2840,3048,3166,3184,3730,4260,4490,4988,5085,5310,5477,5607,5653,5725,5850,6756,7022,7281,7936,8182,8338,9023,9613,9994],[0.691153161953081,3.8187108282864943,3.914021008090819,5.7688031818193215,4.019381523748645,3.914021008090819,5.523458920524919,5.698620542196782,4.270695952029551,3.7316994512968646,4.607168188650764,0.6792718340663283,3.6516567436233283,4.270695952029551,4.830311739964974,4.137164559405029,4.019381523748645,3.6516567436233283,0.691153161953081,3.914021008090819,4.607168188650764,0.6714286566053024,0.691153161953081,4.607168188650764,0.691153161953081,0.691153161953081,4.019381523748645,5.523458920524919])",0.0
R174,new report policy keep like relationship newspaper. series thought fill manager put. change maintain republican. experts discuss ongoing developments policy.,"(10000,[55,387,585,1652,3330,3614,4142,4260,4463,4506,4687,4737,5247,5476,5966,6505,6944,9462,9594,9727],[4.607168188650764,2.5530444549552183,0.6871770135734415,4.019381523748645,4.270695952029551,0.6832166123573445,2.6902455764687034,3.7316994512968646,4.270695952029551,0.691153161953081,0.691153161953081,4.830311739964974,4.137164559405029,5.117993812416755,4.830311739964974,0.6871770135734415,2.849310271098391,0.691153161953081,4.607168188650764,3.914021008090819])",1.0
R201,new report public health plan result third upon second best. total seem exist. system toward home military health whole difficult. rise movement price season. experts discuss ongoing developments public health.,"(10000,[399,585,627,795,1738,1770,2588,3194,3365,3614,3996,4506,4687,4816,5294,5877,6043,6123,6219,6279,6505,6735,7140,7337,8771,8805,9256,9462],[5.117993812416755,0.6871770135734415,4.607168188650764,5.117993812416755,4.607168188650764,5.7688031818193215,4.607168188650764,4.607168188650764,4.137164559405029,0.6832166123573445,4.42484663185681,0.691153161953081,0.691153161953081,3.7316994512968646,4.270695952029551,4.270695952029551,4.607168188650764,4.42484663185681,3.172083663361442,4.270695952029551,0.6871770135734415,4.137164559405029,5.523458920524919,5.117993812416755,4.830311739964974,6.0771045414738385,4.42484663185681,0.691153161953081])",1.0
R072,new report education image society option oil notice child. brother black catch point. often heavy worry half. experts discuss ongoing developments education.,"(10000,[7,291,327,454,585,1525,1655,1948,3614,4062,4506,4687,5047,5303,5530,6035,6505,7949,8343,8949,9462,9613],[4.270695952029551,4.137164559405029,4.019381523748645,3.3262343431887,0.6871770135734415,3.383392757028649,5.117993812416755,4.607168188650764,0.6832166123573445,5.117993812416755,0.691153161953081,0.691153161953081,2.7200985396183848,4.270695952029551,2.4789364828014966,3.5085558999826545,0.6871770135734415,4.830311739964974,3.914021008090819,3.5085558999826545,0.691153161953081,4.019381523748645])",1.0
R064,new report research kid first answer story create. sell resource detail newspaper. store green low mouth around pm. experts discuss ongoing developments research.,"(10000,[551,585,1143,1670,3614,3619,3723,4485,4506,4687,4737,6197,6403,6486,6505,6808,6855,7066,7184,7497,8411,9432,9462],[4.42484663185681,0.6871770135734415,4.42484663185681,4.270695952029551,0.6832166123573445,4.137164559405029,4.270695952029551,4.019381523748645,0.691153161953081,0.691153161953081,4.830311739964974,4.270695952029551,4.42484663185681,5.117993812416755,0.6871770135734415,5.523458920524919,4.270695952029551,2.920769235080536,4.607168188650764,4.830311739964974,3.577548771469606,2.849310271098391,0.691153161953081])",1.0
F037,miracle drug confirmed sources meeting effect state cup garden. language congress strong where. offer anyone part take. — shocking claims miracle drug surface internet.,"(10000,[20,503,666,1256,1716,1808,2958,3059,4357,4522,4988,5850,6324,6355,7281,7432,7860,7936,8338,8728,8740,9023],[3.914021008090819,0.691153161953081,4.607168188650764,6.251127295453098,4.270695952029551,3.914021008090819,4.830311739964974,4.137164559405029,5.523458920524919,4.830311739964974,0.6792718340663283,0.691153161953081,3.8187108282864943,3.8187108282864943,0.6714286566053024,5.117993812416755,5.841538470161072,0.691153161953081,0.691153161953081,3.383392757028649,4.42484663185681,0.691153161953081])",0.0
